round,prediction,actual,result,bet,profit,balance
1,莊,莊,贏,100,95.0,95.0
2,莊,莊,贏,100,95.0,190.0
3,莊,莊,贏,100,95.0,285.0
4,莊,莊,贏,100,95.0,380.0
5,莊,閒,輸,100,-100.0,280.0
6,莊,閒,輸,100,-100.0,180.0
7,閒,閒,贏,100,100.0,280.0
8,閒,閒,贏,100,100.0,380.0
9,閒,閒,贏,100,100.0,480.0
10,閒,莊,輸,100,-100.0,380.0
11,莊,莊,贏,100,95.0,475.0
12,莊,和,和局,0,0.0,475.0
13,莊,莊,贏,100,95.0,570.0
14,莊,閒,輸,100,-100.0,470.0
15,閒,閒,贏,100,100.0,570.0
16,閒,閒,贏,100,100.0,670.0
17,閒,莊,輸,100,-100.0,570.0
18,莊,閒,輸,100,-100.0,470.0
19,閒,莊,輸,100,-100.0,370.0
20,莊,閒,輸,100,-100.0,270.0
21,閒,閒,贏,100,100.0,370.0
22,閒,莊,輸,100,-100.0,270.0
23,莊,莊,贏,100,95.0,365.0
24,莊,莊,贏,100,95.0,460.0
25,莊,閒,輸,100,-100.0,360.0
26,莊,莊,贏,100,95.0,455.0
27,莊,閒,輸,100,-100.0,355.0
28,莊,莊,贏,100,95.0,450.0
29,莊,閒,輸,100,-100.0,350.0
30,莊,莊,贏,100,95.0,445.0
31,莊,閒,輸,100,-100.0,345.0
32,莊,閒,輸,100,-100.0,245.0
33,閒,閒,贏,100,100.0,345.0
34,閒,和,和局,0,0.0,345.0
35,閒,和,和局,0,0.0,345.0
36,閒,和,和局,0,0.0,345.0
37,閒,和,和局,0,0.0,345.0
38,閒,莊,輸,100,-100.0,245.0
39,莊,閒,輸,100,-100.0,145.0
40,閒,閒,贏,100,100.0,245.0
41,閒,莊,輸,100,-100.0,145.0
42,莊,和,和局,0,0.0,145.0
43,莊,閒,輸,100,-100.0,45.0
44,閒,和,和局,0,0.0,45.0
45,閒,莊,輸,100,-100.0,-55.0
46,莊,閒,輸,100,-100.0,-155.0
47,閒,閒,贏,100,100.0,-55.0
48,閒,和,和局,0,0.0,-55.0
49,閒,閒,贏,100,100.0,45.0
50,閒,莊,輸,100,-100.0,-55.0
51,莊,閒,輸,100,-100.0,-155.0
52,閒,莊,輸,100,-100.0,-255.0
53,閒,閒,贏,100,100.0,-155.0
54,閒,莊,輸,100,-100.0,-255.0
55,閒,莊,輸,100,-100.0,-355.0
56,莊,莊,贏,100,95.0,-260.0
57,莊,莊,贏,100,95.0,-165.0
58,莊,閒,輸,100,-100.0,-265.0
59,閒,莊,輸,100,-100.0,-365.0
60,莊,和,和局,0,0.0,-365.0
61,莊,莊,贏,100,95.0,-270.0
62,莊,閒,輸,100,-100.0,-370.0
63,閒,莊,輸,100,-100.0,-470.0
64,莊,閒,輸,100,-100.0,-570.0
65,莊,和,和局,0,0.0,-570.0
66,莊,莊,贏,100,95.0,-475.0
67,莊,莊,贏,100,95.0,-380.0
68,莊,莊,贏,100,95.0,-285.0
69,莊,和,和局,0,0.0,-285.0
70,莊,莊,贏,100,95.0,-190.0
71,莊,莊,贏,100,95.0,-95.0
72,莊,莊,贏,100,95.0,0.0
73,莊,莊,贏,100,95.0,95.0
74,莊,莊,贏,100,95.0,190.0
75,莊,莊,贏,100,95.0,285.0
76,莊,閒,輸,100,-100.0,185.0
77,莊,閒,輸,100,-100.0,85.0
78,莊,莊,贏,100,95.0,180.0
79,莊,閒,輸,100,-100.0,80.0
80,莊,莊,贏,100,95.0,175.0
81,莊,莊,贏,100,95.0,270.0
82,莊,閒,輸,100,-100.0,170.0
83,莊,閒,輸,100,-100.0,70.0
84,莊,莊,贏,100,95.0,165.0
85,莊,莊,贏,100,95.0,260.0
86,莊,莊,贏,100,95.0,355.0
87,莊,閒,輸,100,-100.0,255.0
88,莊,閒,輸,100,-100.0,155.0
89,莊,莊,贏,100,95.0,250.0
90,莊,莊,贏,100,95.0,345.0
91,莊,莊,贏,100,95.0,440.0
92,莊,莊,贏,100,95.0,535.0
93,莊,閒,輸,100,-100.0,435.0
94,莊,閒,輸,100,-100.0,335.0
95,莊,莊,贏,100,95.0,430.0
96,莊,閒,輸,100,-100.0,330.0
97,莊,閒,輸,100,-100.0,230.0
98,莊,莊,贏,100,95.0,325.0
99,莊,莊,贏,100,95.0,420.0
100,莊,閒,輸,100,-100.0,320.0
101,莊,莊,贏,100,95.0,415.0
102,莊,和,和局,0,0.0,415.0
103,莊,莊,贏,100,95.0,510.0
104,莊,莊,贏,100,95.0,605.0
105,莊,和,和局,0,0.0,605.0
106,莊,閒,輸,100,-100.0,505.0
107,莊,和,和局,0,0.0,505.0
108,莊,閒,輸,100,-100.0,405.0
109,莊,閒,輸,100,-100.0,305.0
110,閒,莊,輸,100,-100.0,205.0
111,莊,莊,贏,100,95.0,300.0
112,莊,閒,輸,100,-100.0,200.0
113,莊,閒,輸,100,-100.0,100.0
114,莊,閒,輸,100,-100.0,0.0
115,閒,和,和局,0,0.0,0.0
116,閒,莊,輸,100,-100.0,-100.0
117,莊,莊,贏,100,95.0,-5.0
118,莊,閒,輸,100,-100.0,-105.0
119,莊,莊,贏,100,95.0,-10.0
120,莊,莊,贏,100,95.0,85.0
121,莊,閒,輸,100,-100.0,-15.0
122,莊,閒,輸,100,-100.0,-115.0
123,莊,莊,贏,100,95.0,-20.0
124,莊,莊,贏,100,95.0,75.0
125,莊,莊,贏,100,95.0,170.0
126,莊,閒,輸,100,-100.0,70.0
127,莊,閒,輸,100,-100.0,-30.0
128,莊,閒,輸,100,-100.0,-130.0
129,莊,莊,贏,100,95.0,-35.0
130,莊,和,和局,0,0.0,-35.0
131,莊,閒,輸,100,-100.0,-135.0
132,莊,莊,贏,100,95.0,-40.0
133,莊,莊,贏,100,95.0,55.0
134,莊,閒,輸,100,-100.0,-45.0
135,莊,閒,輸,100,-100.0,-145.0
136,莊,莊,贏,100,95.0,-50.0
137,莊,閒,輸,100,-100.0,-150.0
138,莊,莊,贏,100,95.0,-55.0
139,莊,莊,贏,100,95.0,40.0
140,莊,閒,輸,100,-100.0,-60.0
141,莊,閒,輸,100,-100.0,-160.0
142,莊,莊,贏,100,95.0,-65.0
143,莊,莊,贏,100,95.0,30.0
144,莊,閒,輸,100,-100.0,-70.0
145,莊,閒,輸,100,-100.0,-170.0
146,莊,閒,輸,100,-100.0,-270.0
147,閒,閒,贏,100,100.0,-170.0
148,閒,閒,贏,100,100.0,-70.0
149,閒,莊,輸,100,-100.0,-170.0
150,莊,閒,輸,100,-100.0,-270.0
151,莊,閒,輸,100,-100.0,-370.0
152,閒,閒,贏,100,100.0,-270.0
153,閒,和,和局,0,0.0,-270.0
154,閒,莊,輸,100,-100.0,-370.0
155,莊,莊,贏,100,95.0,-275.0
156,莊,莊,贏,100,95.0,-180.0
157,莊,莊,贏,100,95.0,-85.0
158,莊,閒,輸,100,-100.0,-185.0
159,莊,閒,輸,100,-100.0,-285.0
160,閒,閒,贏,100,100.0,-185.0
161,閒,閒,贏,100,100.0,-85.0
162,閒,閒,贏,100,100.0,15.0
163,閒,莊,輸,100,-100.0,-85.0
164,莊,莊,贏,100,95.0,10.0
165,莊,莊,贏,100,95.0,105.0
166,莊,閒,輸,100,-100.0,5.0
167,閒,莊,輸,100,-100.0,-95.0
168,莊,莊,贏,100,95.0,0.0
169,莊,莊,贏,100,95.0,95.0
170,莊,閒,輸,100,-100.0,-5.0
171,莊,莊,贏,100,95.0,90.0
172,莊,閒,輸,100,-100.0,-10.0
173,莊,莊,贏,100,95.0,85.0
174,莊,閒,輸,100,-100.0,-15.0
175,莊,閒,輸,100,-100.0,-115.0
176,莊,閒,輸,100,-100.0,-215.0
177,莊,莊,贏,100,95.0,-120.0
178,莊,閒,輸,100,-100.0,-220.0
179,莊,莊,贏,100,95.0,-125.0
180,莊,莊,贏,100,95.0,-30.0
181,莊,莊,贏,100,95.0,65.0
182,莊,莊,贏,100,95.0,160.0
183,莊,閒,輸,100,-100.0,60.0
184,莊,莊,贏,100,95.0,155.0
185,莊,莊,贏,100,95.0,250.0
186,莊,閒,輸,100,-100.0,150.0
187,莊,莊,贏,100,95.0,245.0
188,莊,莊,贏,100,95.0,340.0
189,莊,莊,贏,100,95.0,435.0
